brand,name,price,spec_score,user_votes,user_rating,os,utility: Business,utility: Everyday Use,utility: Performance,utility: Gaming,thickness_mm,weight_kg,warranty,screen_size,resolution_WIDTH,resolution_HEIGHT,resolution_category,ppi_num,ppi_category,battery_Wh,aspect_ratio,touch_screen,anti_glare,processor_gen,processor_brand,processor_core,base_processor_speed_GHz,turbo_processor_speed_GHz,no_cores,cache_memory_mb,graphics_brand,rom_capacity_gb,internal_memory_gb
hp,15s-fr5011TU,53999.0,57.0,352.0,4.2, windows 11,0,1,0,0,17.9,1.69,1.0,15.6,1080.0,1920.0,Average,141.0,Average,41.0,16:9,0,1,12.0,intel,Core i5,1.3,4.4,10.0,12.0,intel,16.0,512.0
hp,Spectre x360 14-eu0556TU,159990.0,75.0,75.0,4.2, windows 11,0,0,0,0,16.9,1.44,1.0,14.0,1800.0,2880.0,Good,243.0,High,68.0,,1,0,,intel,Core Ultra 7,1.4,4.8,16.0,24.0,intel,32.0,1024.0
hp,Omen 16-wf1026TX Gaming,176499.0,80.0,64.0,4.7, windows 11,0,0,1,0,23.88,2.32,1.0,16.1,1080.0,1920.0,Bad,137.0,Low,83.0,,0,1,14.0,intel,Core i7,2.1,5.5,20.0,33.0,nvidia,16.0,1024.0
chuwi,Gemibook X Pro,20990.0,44.0,4659.0,3.9, windows 11,0,0,0,0,19.0,1.46,1.0,14.1,1080.0,1920.0,Average,156.0,High,38.0,16:9,0,0,12.0,intel,,,3.4,4.0,6.0,intel,8.0,256.0
asus,VivoBook 14 X1400EA-EK543WS,43990.0,53.0,7663.0,4.3, windows 11,0,0,0,0,,1.5,1.0,14.0,1080.0,1920.0,Average,157.0,High,37.0,16:9,0,1,11.0,intel,Core i5,2.4,4.2,4.0,8.0,intel,16.0,512.0
hp,Pavilion 15-EG2119TU,60990.0,50.0,98.0,4.7, windows 11,0,1,0,0,,,1.0,15.6,1080.0,1920.0,Average,141.0,Average,41.0,16:9,0,1,12.0,intel,Core i5,1.7,4.4,12.0,12.0,intel,12.0,512.0
acer,Nitro V 15 ANV15-51 Gaming,73223.0,60.0,112.0,4.1, windows 11,0,0,0,1,25.9,2.6,1.0,15.6,1080.0,1920.0,Average,141.0,Average,57.0,,0,1,13.0,intel,Core i5,,4.6,8.0,12.0,nvidia,16.0,512.0
lenovo,IdeaPad Slim 3 82X60013IN,43990.0,46.0,434.0,4.0, windows 11,0,1,0,0,,,1.0,15.6,1080.0,1920.0,Average,157.0,High,47.0,16:9,0,1,13.0,intel,Core i3,,4.5,5.0,10.0,intel,8.0,512.0
chuwi,CoreBook X,34990.0,51.0,88.0,4.7, windows 11,0,1,0,0,,1.4,1.0,14.0,1440.0,2160.0,Best,185.0,High,46.2,,0,0,10.0,intel,Core i5,1.0,3.6,4.0,6.0,intel,16.0,512.0
ultimus,Lite NU14U3INC54BN,15990.0,42.0,67.0,4.5, windows 11,0,0,1,0,19.5,1.3,1.0,14.1,768.0,1366.0,Average,111.0,Lowest,18.5,16:9,0,1,,intel,Celeron,1.1,2.8,2.0,4.0,intel,8.0,256.0
lenovo,IdeaPad Slim 3 15IRH8 83EM0025IN,59490.0,54.0,80.0,4.2, windows 11,0,0,1,0,17.9,1.62,1.0,15.6,1080.0,1920.0,Average,157.0,High,47.0,16:9,0,1,13.0,intel,Core i5,,4.6,8.0,12.0,intel,16.0,512.0
dell,G15-5530 Gaming,83990.0,68.0,114.0,4.4, windows 11,0,0,0,1,26.9,2.65,1.0,15.6,1080.0,1920.0,Average,141.0,Average,56.0,,0,1,13.0,intel,Core i5,,4.6,10.0,20.0,nvidia,16.0,1024.0
dell,‎G16 7630 Gaming,187490.0,77.0,68.0,4.3, windows 11,0,0,0,1,25.65,2.99,1.0,16.0,1600.0,2560.0,Average,141.0,Low,,,0,1,13.0,intel,Core i9,,5.4,24.0,36.0,nvidia,16.0,1024.0
hp,Envy x360 15-fh0014AU,80650.0,60.0,104.0,4.4, windows 11,0,0,1,0,18.4,2.14,1.0,15.6,1080.0,1920.0,Average,141.0,Average,55.0,,1,0,7.0,amd,Ryzen 5,2.0,4.5,6.0,16.0,amd,8.0,512.0
lenovo,IdeaPad Slim 3 83ER008DIN,54990.0,55.0,485.0,4.1, windows 11,1,0,0,0,,1.62,1.0,15.6,1080.0,1920.0,Average,134.0,Low,47.0,,0,1,12.0,,Core i5,2.0,4.4,8.0,12.0,intel,16.0,512.0
infinix,INBook Y2 Plus XL29,26490.0,44.0,2140.0,4.2, windows 11,0,0,1,0,,,1.0,15.6,1080.0,1920.0,Average,141.0,Average,50.0,,0,1,11.0,intel,Core i3,3.0,4.1,2.0,6.0,intel,8.0,512.0
msi,Prestige 13 AI Evo A1M,113999.0,64.0,64.0,4.4, windows 11,0,0,1,0,16.9,0.99,2.0,13.3,1200.0,1920.0,Average,170.0,Average,75.0,16:10,0,1,,intel,Core Ultra 7,1.4,4.8,16.0,24.0,intel,16.0,512.0
hp,Omen 16-wf0054TX Gaming,151490.0,73.0,99.0,4.8, windows 11,0,0,1,0,23.9,2.32,1.0,16.1,1080.0,1920.0,Bad,182.0,Average,83.0,,0,1,13.0,intel,Core i7,,5.0,16.0,30.0,nvidia,16.0,512.0
lenovo,Ideapad Flex 5 14IAU7 82R700KHIN,53990.0,53.0,93.0,4.6, windows 11,0,0,1,0,,,1.0,14.0,1200.0,1920.0,Good,162.0,High,52.5,16:10,1,0,12.0,intel,Core i3,1.2,4.4,6.0,10.0,intel,8.0,512.0
lenovo,V15 G4 ‎82YU00W9IN,33990.0,56.0,78.0,4.2, windows 11,0,0,1,0,19.9,1.65,1.0,15.6,1080.0,1920.0,Average,147.0,High,,,0,1,7.0,amd,Ryzen 5,2.8,4.3,4.0,4.0,amd,8.0,512.0
hp,250 G9 95X38PA,57000.0,47.0,62.0,4.1, dos,0,0,1,0,,,1.0,15.6,1080.0,1920.0,Average,157.0,High,,16:9,0,1,12.0,intel,Core i5,1.3,4.4,10.0,12.0,intel,8.0,512.0
asus,Zenbook 14 OLED UX3405,149990.0,65.0,84.0,4.0, windows 11,0,0,1,0,14.9,1.22,1.0,14.0,1800.0,2880.0,Good,243.0,High,75.0,16:10,0,0,,intel,Core Ultra 9,2.3,5.1,16.0,24.0,intel,16.0,512.0
acer,Predator Triton Neo 16,199999.0,74.0,59.0,4.3, windows 11,0,0,0,1,,,1.0,16.0,2000.0,3200.0,Good,236.0,High,,16:10,0,0,,intel,Core Ultra 9,2.3,5.1,16.0,24.0,nvidia,32.0,2048.0
lenovo,IdeaPad Slim 1 82R400BGIN,35490.0,46.0,76.0,4.6, windows 11,0,1,0,0,,,1.0,15.6,1080.0,1920.0,Average,157.0,High,,16:9,0,1,5.0,amd,Ryzen 5,2.1,4.0,6.0,8.0,amd,8.0,512.0
infinix,INBook Y2 Plus,34990.0,51.0,168.0,4.2, windows 11,0,0,1,0,,1.58,1.0,15.6,1080.0,1920.0,Average,141.0,Average,50.0,,0,1,11.0,intel,Core i5,2.5,4.5,4.0,8.0,intel,16.0,512.0
lenovo,V14 82KAA0AMIH,44990.0,53.0,103.0,4.1, dos,0,0,0,0,19.9,1.6,1.0,14.0,768.0,1366.0,Bad,112.0,Low,,16:9,0,1,11.0,intel,Core i5,2.4,4.2,4.0,8.0,intel,8.0,512.0
lenovo,IdeaPad Slim 3 82H803LKIN,49999.0,62.0,69.0,4.6, windows 11,0,0,1,0,19.9,1.65,1.0,15.6,1080.0,1920.0,Average,157.0,High,45.0,16:9,0,1,11.0,intel,Core i5,2.5,4.5,4.0,8.0,intel,16.0,512.0
lenovo,IdeaPad Slim 3 82H803HQIN,48900.0,60.0,92.0,4.8, windows 11,0,0,1,0,19.9,1.65,1.0,15.6,1080.0,1920.0,Average,157.0,High,45.0,16:9,0,1,11.0,intel,Core i5,2.5,4.5,4.0,8.0,intel,8.0,512.0
lenovo,V14 82KAA01QIH,44990.0,57.0,86.0,4.0, windows 10,0,0,1,0,19.9,1.6,1.0,14.0,1080.0,1920.0,Average,157.0,High,38.0,,0,1,11.0,intel,Core i5,2.4,4.2,4.0,8.0,intel,8.0,512.0
lenovo,IdeaPad 1 15ALC7 82R400ERIN,40490.0,54.0,1753.0,4.1, windows 11,0,1,0,0,17.0,1.65,1.0,15.6,1080.0,1920.0,Average,141.0,Average,42.0,,0,1,5.0,amd,Ryzen 5,2.1,4.0,6.0,8.0,amd,16.0,512.0
asus,Chromebook CX3402CBA-PQ0173,34990.0,42.0,67.0,4.5, chrome,0,0,1,0,18.7,1.44,1.0,14.0,1080.0,1920.0,Average,157.0,High,,,0,0,12.0,intel,Core i3,1.2,4.4,6.0,10.0,intel,8.0,128.0
acer,Nitro V16 Gaming,149900.0,69.0,88.0,4.5, windows 11,0,0,0,0,,,1.0,16.0,1200.0,1920.0,Average,142.0,Low,,,0,0,8.0,amd,Ryzen 7,3.8,5.1,8.0,16.0,nvidia,16.0,1024.0
asus,Zenbook S13 OLED 2024 UX5304MA-NQ762WS,139990.0,70.0,94.0,4.8, windows 11,0,0,1,0,10.9,1.0,1.0,13.3,1800.0,2880.0,Good,255.0,High,63.0,16:10,0,1,,intel,Core Ultra 7,1.7,4.8,12.0,12.0,intel,32.0,1024.0
msi,Thin GF63 11UC-1494IN Gaming,63499.0,65.0,93.0,4.4, windows 11,0,0,1,0,,,2.0,15.6,1080.0,1920.0,Average,141.0,Average,52.4,,0,1,11.0,intel,Core i7,2.3,4.6,8.0,24.0,nvidia,16.0,1024.0
huawei,Qingyun L540,81999.0,42.0,94.0,4.3, linux,0,0,0,0,15.9,1.45,1.0,14.0,1440.0,2160.0,Good,185.0,High,,,0,0,,HiSilicon,Kirin 9006C,3.13,,,,,16.0,512.0
samsung,Galaxy Book 4 Ultra,299999.0,75.0,110.0,4.2,,0,1,0,0,16.5,1.86,,16.0,1800.0,2880.0,Average,212.0,Average,76.0,,1,0,,intel,Core Ultra 7,1.4,4.8,16.0,24.0,nvidia,32.0,1024.0
lenovo,Yoga Slim 6 14IRH8,81400.0,59.0,63.0,4.8, windows 11,0,0,1,0,14.9,1.35,1.0,14.0,1200.0,1920.0,Good,162.0,High,65.0,,0,1,13.0,intel,Core i5,,4.7,12.0,18.0,intel,16.0,1024.0
lenovo,IdeaPad Slim 3i 82RK011EIN,62490.0,61.0,522.0,4.1, windows 11,1,0,0,0,19.9,1.63,1.0,15.6,1080.0,1920.0,Average,134.0,Low,45.0,,0,1,12.0,intel,Core i7,1.7,4.7,10.0,12.0,intel,16.0,512.0
huawei,MateBook 14s 2023,80999.0,68.0,91.0,4.6, windows 11,0,1,0,0,16.7,1.43,1.0,14.2,1680.0,2520.0,Good,213.0,High,60.0,3:2,1,0,13.0,intel,Core i9,2.6,5.4,14.0,24.0,intel,16.0,1024.0
dell,Inspiron 3535,34490.0,50.0,120.0,4.4, windows 11,0,0,0,0,,1.63,1.0,15.6,1080.0,1920.0,Average,147.0,High,41.0,16:9,0,1,7.0,amd,Ryzen 3,2.4,4.1,4.0,4.0,amd,8.0,512.0
lenovo,IdeaPad Gaming 3 82SB00Y8IN,69990.0,66.0,72.0,4.4, windows 11,0,0,0,0,,2.32,1.0,15.6,1080.0,1920.0,Average,141.0,Average,60.0,,0,1,6.0,amd,Ryzen 7,3.2,4.7,8.0,16.0,nvidia,16.0,512.0
xiaomi,Redmi Book 14 2024,49990.0,57.0,111.0,4.0, windows 11,0,0,0,0,15.9,1.37,1.0,14.0,1800.0,2880.0,Good,243.0,High,56.0,16:10,0,1,13.0,intel,Core i5,,4.7,12.0,18.0,intel,16.0,512.0
acer,Aspire 5 A515-58P Gaming,35999.0,44.0,68.0,4.3, windows 11,0,0,1,0,18.9,1.78,1.0,15.6,1080.0,1920.0,Average,141.0,Average,,16:9,0,0,13.0,intel,Core i3,,4.5,5.0,10.0,intel,8.0,512.0
lenovo,IdeaPad 1 14IGL7 82V6006EIN,26490.0,45.0,98.0,4.2, windows 11,0,0,1,0,17.9,1.3,1.0,14.0,768.0,1366.0,Bad,135.0,Average,42.0,16:9,0,1,4.0,intel,Celeron,1.1,2.8,2.0,4.0,intel,8.0,256.0
hp,15s-EQ2084AU,52199.0,57.0,71.0,4.8, windows 11,0,0,1,0,17.9,1.69,1.0,15.6,1080.0,1920.0,Average,141.0,Average,41.0,,0,1,5.0,amd,Ryzen 7,1.8,4.3,8.0,8.0,amd,16.0,512.0
lenovo,IdeaPad Gaming 3 15IAH7 82S9017TIN,67990.0,61.0,223.0,4.2, windows 11,0,0,0,1,,,1.0,15.6,1080.0,1920.0,Average,141.0,Average,45.0,16:9,0,1,12.0,intel,Core i5,2.0,4.4,8.0,12.0,nvidia,16.0,512.0
lenovo,Ideapad Slim 5 82XF0078IN,87190.0,60.0,66.0,4.4, windows 11,0,0,0,0,16.9,1.89,1.0,16.0,1600.0,2560.0,Good,142.0,Average,75.4,16:10,0,1,13.0,intel,Core i7,,5.0,14.0,24.0,intel,16.0,1024.0
dell,Inspiron 7430 14 2 in 1,56990.0,55.0,221.0,4.3, windows 11,0,1,0,0,,,1.0,14.0,1200.0,1920.0,Good,162.0,High,54.0,,1,0,13.0,intel,Core i3,1.2,4.5,6.0,10.0,intel,8.0,512.0
samsung,Galaxy Book 4 360,129900.0,57.0,97.0,4.1, windows 11,0,1,0,0,,,1.0,13.3,1080.0,1920.0,Bad,166.0,Average,73.0,,1,0,13.0,intel,Core i7,,5.0,10.0,12.0,intel,16.0,512.0
lenovo,Ideapad Slim 5 82XD006GIN,72190.0,53.0,75.0,4.4, windows 11,0,0,0,0,,1.46,1.0,14.0,1200.0,1920.0,Good,142.0,Average,56.6,16:10,0,1,13.0,intel,Core i5,,4.6,8.0,12.0,intel,16.0,1024.0
lenovo,IdeaPad Slim 5 14IAH8 83BF0043IN,64990.0,56.0,140.0,4.1, windows 11,0,1,0,0,,1.4,1.0,14.0,1200.0,1920.0,Good,162.0,High,56.6,,0,1,12.0,intel,Core i5,2.0,4.4,8.0,12.0,intel,16.0,1024.0
dell,5530 G15 Gaming,148990.0,74.0,143.0,4.3, windows 11,0,0,0,1,26.9,2.65,1.0,15.6,1080.0,1920.0,Bad,141.0,Low,86.0,,0,1,13.0,intel,Core i9,,5.4,24.0,36.0,nvidia,16.0,1024.0
dell,Latitude 3520 DLCK3520BL,35500.0,48.0,81.0,4.5, ubuntu,0,1,0,0,18.0,1.79,1.0,15.6,1080.0,1920.0,Average,141.0,Average,,,0,1,11.0,intel,Core i3,3.0,4.1,2.0,6.0,intel,8.0,512.0
dell,Inspiron 3520 IN3520RVTGV001ORB1,34990.0,45.0,308.0,4.3, windows 11,0,0,0,0,,,1.0,15.6,1080.0,1920.0,Average,141.0,Average,,16:9,0,1,11.0,intel,Core i3,3.0,4.1,2.0,6.0,intel,8.0,512.0
lenovo,Thinkpad E14 G4 21E3S00P00,67900.0,59.0,54.0,4.4, dos,0,0,0,0,18.9,1.59,,14.0,1080.0,1920.0,Average,157.0,Average,45.0,16:9,0,1,12.0,intel,Core i5,1.3,4.4,10.0,12.0,intel,8.0,512.0
lenovo,IdeaPad Slim 3 82H803U0IN,31500.0,47.0,612.0,4.2, windows 11,0,0,1,0,,,1.0,15.6,1080.0,1920.0,Average,157.0,High,45.0,16:9,0,1,11.0,intel,Core i3,3.0,4.1,2.0,6.0,intel,8.0,256.0
msi,CreatorPro X17 HX A13VKS-249IN,519990.0,92.0,91.0,4.1, windows 11,0,0,1,0,19.0,2.49,3.0,17.0,1600.0,2560.0,Bad,178.0,Lowest,99.0,,0,1,13.0,intel,Core i9,,5.6,24.0,36.0,nvidia,64.0,4096.0
acer,Aspire 3 15 A315-510P UN.KDHSI.019,33990.0,43.0,71.0,4.7, windows 11,0,0,1,0,18.9,1.78,1.0,15.6,1080.0,1920.0,Average,141.0,Average,40.0,16:9,0,1,,intel,Core i3,,3.8,8.0,6.0,intel,8.0,512.0
acer,Aspire Lite 15 AL15-51 2023 ,50000.0,61.0,104.0,4.0, windows 11,0,0,1,0,19.7,1.59,1.0,15.6,1080.0,1920.0,Average,141.0,Average,36.0,16:9,0,1,11.0,intel,Core i5,2.5,4.5,4.0,8.0,intel,16.0,1024.0
lenovo,ThinkPad X1 Carbon 21HMS00000,218990.0,64.0,97.0,4.3, windows 11,1,0,0,0,,,1.0,14.0,1200.0,1920.0,Poor,157.0,Low,57.0,,0,1,13.0,intel,Core i7,,5.0,10.0,12.0,intel,16.0,1024.0
avita,Liber AM15A2INT56F,30834.0,46.0,105.0,4.1, windows 11,0,0,1,0,19.5,,1.0,15.6,1080.0,1920.0,Average,157.0,High,,16:9,0,0,12.0,intel,Core i3,1.2,4.4,6.0,10.0,intel,8.0,512.0
acer,Aspire Lite AL15-52 2023,42990.0,56.0,89.0,4.2, windows 11,0,0,1,0,19.7,1.59,1.0,15.6,1080.0,1920.0,Average,141.0,Average,36.0,16:9,0,1,12.0,intel,Core i5,1.3,4.4,10.0,12.0,intel,8.0,512.0
acer,Aspire Lite AL15-52,44750.0,59.0,107.0,4.2, windows 11,0,0,1,0,19.7,1.59,1.0,15.6,1080.0,1920.0,Average,141.0,Average,36.0,16:9,0,1,12.0,intel,Core i5,1.3,4.4,10.0,12.0,intel,16.0,512.0
hp,ProBook 440 G8 7L375PA Notebook,102999.0,63.0,74.0,4.7, windows 11,0,0,0,0,19.9,1.38,1.0,14.0,1080.0,1920.0,Average,157.0,Average,45.0,,0,1,11.0,intel,Core i7,1.2,4.7,4.0,12.0,intel,8.0,512.0
apple,MacBook Pro 16 2023,230590.0,56.0,59.0,4.2, mac,0,0,1,0,16.8,2.14,1.0,16.2,2234.0,3456.0,Good,254.0,High,100.0,,0,0,3.0,apple,,,,12.0,,,18.0,512.0
apple,MacBook Pro 14 2023,224990.0,56.0,60.0,4.4, mac,0,0,1,0,15.5,1.61,1.0,14.2,1964.0,3024.0,Good,254.0,High,,,0,0,3.0,apple,,,,12.0,,,18.0,1024.0
apple,MacBook Pro 14 2023,176490.0,52.0,61.0,4.1, mac,0,0,1,0,15.5,1.55,1.0,14.2,1964.0,3024.0,Good,254.0,High,,,0,0,3.0,apple,,,,8.0,,,8.0,1024.0
apple,MacBook Pro 16 2023,349900.0,64.0,62.0,4.0, mac,0,0,1,0,16.8,2.16,1.0,16.2,2234.0,3456.0,Good,254.0,High,100.0,,0,0,3.0,apple,,,,14.0,,,36.0,1024.0
apple,MacBook Pro 14 2023,289690.0,63.0,105.0,4.2, mac,0,0,1,0,15.5,1.62,1.0,14.2,1964.0,3024.0,Average,254.0,Average,,,0,0,3.0,apple,,,,14.0,,,36.0,1024.0
lenovo,Yoga Slim 7i Carbon 13IRP8 83AY003CIN,123190.0,64.0,87.0,4.3, windows 11,0,0,1,0,,1.0,1.0,13.3,1600.0,2560.0,Good,227.0,High,50.0,,1,0,13.0,intel,Core i7,2.2,5.0,12.0,18.0,intel,16.0,1024.0
hp,15s-fq2510tu,50790.0,60.0,138.0,4.5, windows 11,0,0,0,0,17.9,1.7,1.0,15.6,1080.0,1920.0,Average,141.0,Average,41.0,,0,1,11.0,intel,Core i5,2.4,4.2,4.0,8.0,intel,16.0,512.0
acer,Aspire 5 A515-57 NX.K3JSI.006,46990.0,60.0,52.0,4.7, windows 11,0,0,0,1,17.9,1.76,1.0,15.6,1080.0,1920.0,Average,141.0,Average,,16:9,0,1,12.0,intel,Core i5,1.3,4.4,10.0,12.0,intel,8.0,512.0
lenovo,Ideapad Gaming 3 15ARH7 82SB00QJIN Laptop,58900.0,64.0,53.0,4.4, windows 11,0,0,0,0,,2.32,1.0,15.6,1080.0,1920.0,Average,141.0,Average,60.0,,0,1,7.0,amd,Ryzen 5,3.3,4.55,6.0,16.0,nvidia,8.0,512.0
lenovo,IdeaPad Gaming 3 Gen 6 82K2028QIN,50390.0,62.0,103.0,4.4, windows 11,0,0,0,1,24.2,2.2,1.0,15.6,1080.0,1920.0,Average,141.0,Average,45.0,,0,1,5.0,amd,Ryzen 5,3.3,4.2,4.0,,nvidia,8.0,512.0
dell,Inspiron 3520 IN3520P9K46002ORS1,36990.0,55.0,78.0,4.1, windows 11,1,0,0,0,16.9,1.63,1.0,15.6,1080.0,1920.0,Average,141.0,Average,41.0,,0,1,12.0,intel,Core i3,1.2,4.4,6.0,10.0,intel,8.0,512.0
lenovo,LOQ 15APH8 82XT004KIN Gaming,98790.0,71.0,77.0,4.4, windows 11,0,0,0,1,22.1,2.4,1.0,15.6,1080.0,1920.0,Average,184.0,High,60.0,16:10,0,1,7.0,amd,Ryzen 7,3.8,5.1,8.0,16.0,nvidia,16.0,512.0
avita,Pura S102,19999.0,38.0,86.0,4.6, windows 11,0,0,1,0,,,1.0,15.6,1080.0,1920.0,Average,141.0,Average,18.5,16:9,0,1,,intel,Celeron,1.1,2.8,2.0,4.0,intel,8.0,512.0
apple,MacBook Pro 14 2023,154990.0,50.0,94.0,4.5, mac,0,0,1,0,15.5,1.55,1.0,14.2,1964.0,3024.0,Good,254.0,High,,,0,0,3.0,apple,,,,8.0,,,8.0,512.0
hp,Omen 16-xd0005AX Gaming,106590.0,75.0,86.0,4.4, windows 11,0,0,0,1,23.9,2.37,1.0,16.1,1080.0,1920.0,Average,137.0,Low,83.0,,0,1,7.0,amd,Ryzen 7,3.8,5.1,8.0,16.0,nvidia,16.0,1024.0
hp,ProBook 440 G9 821M3PA,90223.0,65.0,76.0,4.2, windows 11,0,0,0,0,19.9,1.38,1.0,14.0,768.0,1366.0,Poor,112.0,Low,51.0,,0,1,12.0,intel,Core i5,1.3,4.4,10.0,12.0,intel,16.0,512.0
hp,15s-FR5012TU,38990.0,53.0,87.0,4.7, windows 11,0,1,0,0,17.9,1.69,1.0,15.6,1080.0,1920.0,Average,141.0,Average,,16:9,0,1,12.0,intel,Core i3,1.2,4.4,6.0,10.0,intel,8.0,512.0
acer,Aspire Lite AL15-51 15 2023,44990.0,57.0,93.0,4.2, windows 11,0,0,1,0,19.7,1.6,1.0,15.6,1080.0,1920.0,Average,141.0,Average,36.0,16:9,0,1,11.0,intel,Core i5,2.5,4.5,4.0,8.0,intel,8.0,1024.0
lenovo,S14 Gen 3 82TW000VIH,45990.0,52.0,83.0,4.8, dos,0,0,0,0,18.0,1.5,3.0,14.0,1080.0,1920.0,Average,157.0,High,45.0,,0,1,12.0,intel,Core i5,1.3,4.4,10.0,12.0,intel,8.0,512.0
hp,Victus 15-fa1134TX,93990.0,73.0,99.0,4.4, windows 11,0,0,0,1,2.34,2.29,1.0,15.6,1080.0,1920.0,Average,141.0,Average,70.0,,0,1,12.0,intel,Core i7,2.3,4.7,10.0,24.0,nvidia,16.0,512.0
infinix,INBook Y1 Plus 15 XL28,27990.0,50.0,216.0,4.4, windows 11,0,0,0,0,18.2,1.76,1.0,15.6,1080.0,1920.0,Average,141.0,Average,50.0,,0,1,10.0,intel,Core i5,1.0,3.6,4.0,6.0,intel,8.0,512.0
hp,Victus 15-FA1098TX,58999.0,60.0,72.0,4.7, windows 11,0,0,0,1,225.0,2.37,1.0,15.6,1080.0,1920.0,Average,141.0,Average,,,0,1,12.0,intel,Core i5,2.0,4.4,8.0,12.0,nvidia,8.0,512.0
microsoft,Surface Laptop Go 3,78990.0,53.0,71.0,4.2, windows 11,0,1,0,0,15.75,1.13,1.0,12.4,1024.0,1536.0,Bad,148.0,Average,41.0,3:2,1,0,12.0,intel,Core i5,1.3,4.4,10.0,12.0,intel,8.0,256.0
acer,Aspire 5 A514-56M NX.KH6SI.001 Gaming,59900.0,51.0,80.0,4.1, windows 11,0,0,1,0,17.8,1.4,1.0,14.0,1200.0,1920.0,Good,162.0,High,,,0,0,13.0,intel,Core i5,,4.6,10.0,12.0,intel,16.0,512.0
acer,Aspire Lite AL15-41,38790.0,57.0,93.0,4.4, windows 11,0,0,1,0,19.7,1.59,1.0,15.6,1080.0,1920.0,Average,141.0,Average,36.0,16:9,0,1,5.0,amd,Ryzen 5,2.1,4.0,6.0,8.0,amd,16.0,1024.0
dell,Inspiron 7430 IC7430MH5K0M01ORS1,88990.0,61.0,87.0,4.3, windows 11,0,1,0,0,18.5,1.58,1.0,14.0,1200.0,1920.0,Average,162.0,High,54.0,,1,0,13.0,intel,Core i5,,4.6,10.0,12.0,intel,8.0,512.0
hp,Victus 15-fb1002AX Gaming,52850.0,65.0,54.0,4.4, windows 11,0,0,0,1,23.5,2.29,1.0,15.6,1080.0,1920.0,Average,141.0,Average,52.5,,0,1,7.0,amd,Ryzen 5,3.3,4.55,6.0,16.0,nvidia,8.0,512.0
hp,Pavilion Plus ‎16-ab0456TX,124999.0,72.0,108.0,4.0, windows 11,0,0,1,0,17.7,1.89,1.0,16.0,1600.0,2560.0,Good,243.0,High,68.0,,0,1,13.0,intel,Core i7,,5.0,14.0,24.0,nvidia,16.0,1024.0
gigabyte,G5,72990.0,70.0,67.0,4.2, windows 11,0,0,0,1,22.7,2.08,2.0,15.6,1080.0,1920.0,Average,141.0,Average,54.0,,0,1,12.0,intel,Core i5,2.5,4.5,12.0,18.0,nvidia,8.0,512.0
lenovo,IdeaPad Gaming 3 82K101LJIN,52890.0,65.0,89.0,4.2, windows 11,0,0,0,1,24.2,2.25,1.0,15.6,1080.0,1920.0,Average,141.0,Average,45.0,16:9,0,1,11.0,intel,Core i5,2.5,4.5,4.0,8.0,nvidia,16.0,512.0
hp,15s-er2004AU,50990.0,54.0,90.0,4.8, windows 11,0,1,0,0,17.9,1.69,1.0,15.6,1080.0,1920.0,Average,141.0,Average,,16:9,0,1,5.0,amd,Ryzen 7,1.8,4.3,8.0,8.0,amd,16.0,512.0
dell,Inspiron 3530 IN3530RMD8W001ORS1,66990.0,50.0,111.0,4.1, windows 11,1,0,0,0,,,1.0,15.6,1080.0,1920.0,Average,141.0,Average,41.0,,0,1,13.0,intel,Core i5,,4.6,10.0,12.0,intel,16.0,1024.0
hp,Omen 16-XD0007ax Gaming,103990.0,72.0,82.0,4.4, windows 11,0,0,0,1,23.9,2.32,1.0,16.1,1080.0,1920.0,Average,137.0,Low,,,0,1,7.0,amd,Ryzen 7,3.8,5.1,8.0,16.0,nvidia,16.0,1024.0
asus,Vivobook Pro 15 OLED M6500QC-LK751WS,76990.0,63.0,68.0,4.4, windows 11,0,0,0,0,18.9,1.8,1.0,15.6,1080.0,1920.0,Average,141.0,Average,70.0,16:9,0,1,5.0,amd,Ryzen 7,2.8,4.4,8.0,16.0,nvidia,16.0,1024.0
acer,Aspire Lite AL15-52,31990.0,54.0,193.0,4.3, windows 11,0,0,1,0,19.7,1.59,1.0,15.6,1080.0,1920.0,Average,141.0,Average,36.0,16:9,0,1,12.0,intel,Core i3,1.2,4.4,6.0,10.0,intel,8.0,512.0
asus,Vivobook Go 14 E1404FA-NK547WS,43990.0,56.0,73.0,4.1, windows 11,0,0,1,0,17.9,1.38,1.0,14.0,1080.0,1920.0,Average,141.0,Average,42.0,16:9,0,1,7.0,amd,Ryzen 5,2.8,4.3,4.0,4.0,amd,16.0,512.0
lenovo,Yoga 7 82YL008HIN,91190.0,68.0,94.0,4.5, windows 11,0,0,1,0,16.49,1.49,1.0,14.0,1200.0,1920.0,Average,162.0,High,71.0,16:10,1,0,13.0,intel,Core i5,1.9,4.6,12.0,12.0,intel,16.0,512.0
acer,Aspire 3 A315-24P NX.KDESI.00B,32790.0,51.0,75.0,3.9, windows 11,0,0,1,0,18.9,1.78,1.0,15.6,1080.0,1920.0,Average,141.0,Average,,,0,1,7.0,amd,Ryzen 5,2.8,4.3,4.0,4.0,amd,8.0,512.0
asus,Vivobook 15X OLED M3504YA-LK552WS,54990.0,61.0,88.0,4.1, windows 11,0,0,0,0,17.9,1.7,1.0,15.6,1080.0,1920.0,Average,141.0,Average,50.0,16:9,0,1,7.0,amd,Ryzen 5,2.0,4.5,6.0,16.0,intel,16.0,1024.0
